[2026-05-31 23:43:09] Training latent draft head with clean-latent + flow loss
[2026-05-31 23:43:09] Manifest: /mnt/lanxiangh/data/ff_exec/draft_head_full_dataset/tau_delta_0p0/manifest.json
[2026-05-31 23:43:09] Run dir:   /root/Self-Forcing/outputs/draft_head/checkpoints/20260531_234309_moviegen_draft_head_attention_clean_latent_flow_h5120_l3_heads40_ctx4680_pool1x1x1_ffn13824_steps1000_937_833_625_0_blocks9_targetinit8_16_24
[2026-05-31 23:43:09] Output:    /root/Self-Forcing/outputs/draft_head/checkpoints/20260531_234309_moviegen_draft_head_attention_clean_latent_flow_h5120_l3_heads40_ctx4680_pool1x1x1_ffn13824_steps1000_937_833_625_0_blocks9_targetinit8_16_24/final.pt
[2026-05-31 23:43:09] Layers:   infer from manifest records
[2026-05-31 23:43:09] Head:     attention input_source=scheduled_latents hidden=5120 layers=3 heads=40 ffn_dim=13824
[2026-05-31 23:43:09] Loss:     type=clean_latent_flow clean_latent=1.0 flow=0.25 dmd=0.0 every=1
[2026-05-31 23:43:09] Schedule: [1000 937 833 625 0] timestep_shift=5.0
[2026-05-31 23:43:09] Target init: 8 16 24
[2026-05-31 23:43:09] GPUs:     1 visible=0
[2026-05-31 23:43:09] Epochs:   3 batch_size=2 lr=5e-5
KV inference with 3 frames per block
Training draft head records=8024 train=7623 val=401 layers=['blocks.16', 'blocks.24', 'blocks.8'] latent_channels=16 feature_dim=15360 head_type=attention input_source=scheduled_latents denoising_steps=[1000, 937, 833, 625, 0] loss_type=clean_latent_flow dmd_weight=0.0 world_size=1
Target initialization report: {'attention': 3, 'ffn': 3, 'skipped': 0}
epoch 1:   0%|          | 11/3812 [01:01<6:10:31,  5.85s/it, avg=4.67, loss=1.35, rmse=1.76, sec=5.8]epoch 1:   0%|          | 11/3812 [01:07<6:10:31,  5.85s/it, avg=4.39, loss=1.3, rmse=1.71, sec=5.79]step=12 epoch=1 batch=12 running_loss=4.388333 running_clean_latent_mse=2.913314 running_clean_latent_rmse=1.706843 step_seconds=5.791603 loss=1.297830 clean_latent_mse=0.980418 clean_latent_loss=0.980418 flow_loss=0.317412
epoch 1:   0%|          | 12/3812 [01:07<6:11:07,  5.86s/it, avg=4.39, loss=1.3, rmse=1.71, sec=5.79]epoch 1:   0%|          | 12/3812 [01:13<6:11:07,  5.86s/it, avg=4.17, loss=1.56, rmse=1.66, sec=5.79]step=13 epoch=1 batch=13 running_loss=4.170933 running_clean_latent_mse=2.771417 running_clean_latent_rmse=1.664757 step_seconds=5.790210 loss=1.562139 clean_latent_mse=1.068661 clean_latent_loss=1.068661 flow_loss=0.493478
epoch 1:   0%|          | 13/3812 [01:13<6:11:36,  5.87s/it, avg=4.17, loss=1.56, rmse=1.66, sec=5.79]epoch 1:   0%|          | 13/3812 [01:18<6:11:36,  5.87s/it, avg=3.98, loss=1.51, rmse=1.63, sec=5.8] step=14 epoch=1 batch=14 running_loss=3.980754 running_clean_latent_mse=2.647848 running_clean_latent_rmse=1.627221 step_seconds=5.799458 loss=1.508429 clean_latent_mse=1.041445 clean_latent_loss=1.041445 flow_loss=0.466984
epoch 1:   0%|          | 14/3812 [01:18<6:12:09,  5.88s/it, avg=3.98, loss=1.51, rmse=1.63, sec=5.8]epoch 1:   0%|          | 14/3812 [01:24<6:12:09,  5.88s/it, avg=3.77, loss=0.828, rmse=1.59, sec=5.79]step=15 epoch=1 batch=15 running_loss=3.770587 running_clean_latent_mse=2.512369 running_clean_latent_rmse=1.585045 step_seconds=5.792893 loss=0.828252 clean_latent_mse=0.615665 clean_latent_loss=0.615665 flow_loss=0.212587
epoch 1:   0%|          | 15/3812 [01:24<6:12:21,  5.88s/it, avg=3.77, loss=0.828, rmse=1.59, sec=5.79]epoch 1:   0%|          | 15/3812 [01:30<6:12:21,  5.88s/it, avg=3.64, loss=1.64, rmse=1.56, sec=5.79] step=16 epoch=1 batch=16 running_loss=3.637632 running_clean_latent_mse=2.426674 running_clean_latent_rmse=1.557779 step_seconds=5.793803 loss=1.643306 clean_latent_mse=1.141250 clean_latent_loss=1.141250 flow_loss=0.502055
epoch 1:   0%|          | 16/3812 [01:30<6:12:26,  5.89s/it, avg=3.64, loss=1.64, rmse=1.56, sec=5.79]epoch 1:   0%|          | 16/3812 [01:36<6:12:26,  5.89s/it, avg=3.53, loss=1.83, rmse=1.53, sec=5.8] step=17 epoch=1 batch=17 running_loss=3.531550 running_clean_latent_mse=2.350003 running_clean_latent_rmse=1.532972 step_seconds=5.804978 loss=1.834238 clean_latent_mse=1.123262 clean_latent_loss=1.123262 flow_loss=0.710975
epoch 1:   0%|          | 17/3812 [01:36<6:12:45,  5.89s/it, avg=3.53, loss=1.83, rmse=1.53, sec=5.8]epoch 1:   0%|          | 17/3812 [01:42<6:12:45,  5.89s/it, avg=3.4, loss=1.14, rmse=1.51, sec=5.8] step=18 epoch=1 batch=18 running_loss=3.398632 running_clean_latent_mse=2.267908 running_clean_latent_rmse=1.505957 step_seconds=5.798496 loss=1.139021 clean_latent_mse=0.872287 clean_latent_loss=0.872287 flow_loss=0.266733
epoch 1:   0%|          | 18/3812 [01:42<6:12:34,  5.89s/it, avg=3.4, loss=1.14, rmse=1.51, sec=5.8]epoch 1:   0%|          | 18/3812 [01:48<6:12:34,  5.89s/it, avg=3.33, loss=2.01, rmse=1.49, sec=5.81]step=19 epoch=1 batch=19 running_loss=3.325450 running_clean_latent_mse=2.228465 running_clean_latent_rmse=1.492804 step_seconds=5.808637 loss=2.008170 clean_latent_mse=1.518502 clean_latent_loss=1.518502 flow_loss=0.489668
epoch 1:   0%|          | 19/3812 [01:48<6:12:41,  5.90s/it, avg=3.33, loss=2.01, rmse=1.49, sec=5.81]epoch 1:   0%|          | 19/3812 [01:54<6:12:41,  5.90s/it, avg=3.27, loss=2.14, rmse=1.48, sec=5.81]step=20 epoch=1 batch=20 running_loss=3.266257 running_clean_latent_mse=2.190388 running_clean_latent_rmse=1.479996 step_seconds=5.807824 loss=2.141586 clean_latent_mse=1.466919 clean_latent_loss=1.466919 flow_loss=0.674667
epoch 1:   1%|          | 20/3812 [01:54<6:12:39,  5.90s/it, avg=3.27, loss=2.14, rmse=1.48, sec=5.81]epoch 1:   1%|          | 20/3812 [02:00<6:12:39,  5.90s/it, avg=3.19, loss=1.7, rmse=1.47, sec=5.81] step=21 epoch=1 batch=21 running_loss=3.191497 running_clean_latent_mse=2.147167 running_clean_latent_rmse=1.465322 step_seconds=5.808932 loss=1.696311 clean_latent_mse=1.282755 clean_latent_loss=1.282755 flow_loss=0.413556
